state,state_abbr,atheist_pct,agnostic_pct,nothing_in_particular_pct,religiously_unaffiliated_pct,source_url
Alabama,AL,3.0,2.0,18.0,23.0,https://www.pewresearch.org/religious-landscape-study/state/alabama/
Alaska,AK,3.0,9.0,21.0,33.0,https://www.pewresearch.org/religious-landscape-study/state/alaska/
Arizona,AZ,3.0,5.0,22.0,30.0,https://www.pewresearch.org/religious-landscape-study/state/arizona/
Arkansas,AR,2.0,4.0,12.0,18.0,https://www.pewresearch.org/religious-landscape-study/state/arkansas/
California,CA,6.0,7.0,20.0,33.0,https://www.pewresearch.org/religious-landscape-study/state/california/
Colorado,CO,8.0,10.0,22.0,40.0,https://www.pewresearch.org/religious-landscape-study/state/colorado/
Connecticut,CT,4.0,5.0,21.0,30.0,https://www.pewresearch.org/religious-landscape-study/state/connecticut/
Delaware,DE,3.0,6.0,15.0,24.0,https://www.pewresearch.org/religious-landscape-study/state/delaware/
Florida,FL,4.0,5.0,18.0,27.0,https://www.pewresearch.org/religious-landscape-study/state/florida/
Georgia,GA,3.0,3.0,20.0,26.0,https://www.pewresearch.org/religious-landscape-study/state/georgia/
Hawaii,HI,3.0,5.0,22.0,30.0,https://www.pewresearch.org/religious-landscape-study/state/hawaii/
Idaho,ID,6.0,6.0,22.0,34.0,https://www.pewresearch.org/religious-landscape-study/state/idaho/
Illinois,IL,5.0,5.0,19.0,29.0,https://www.pewresearch.org/religious-landscape-study/state/illinois/
Indiana,IN,5.0,4.0,21.0,30.0,https://www.pewresearch.org/religious-landscape-study/state/indiana/
Iowa,IA,3.0,6.0,22.0,31.0,https://www.pewresearch.org/religious-landscape-study/state/iowa/
Kansas,KS,3.0,4.0,21.0,28.0,https://www.pewresearch.org/religious-landscape-study/state/kansas/
Kentucky,KY,3.0,6.0,15.0,24.0,https://www.pewresearch.org/religious-landscape-study/state/kentucky/
Louisiana,LA,4.0,1.0,17.0,22.0,https://www.pewresearch.org/religious-landscape-study/state/louisiana/
Maine,ME,5.0,9.0,25.0,39.0,https://www.pewresearch.org/religious-landscape-study/state/maine/
Maryland,MD,6.0,7.0,19.0,32.0,https://www.pewresearch.org/religious-landscape-study/state/maryland/
Massachusetts,MA,8.0,5.0,25.0,38.0,https://www.pewresearch.org/religious-landscape-study/state/massachusetts/
Michigan,MI,4.0,5.0,22.0,31.0,https://www.pewresearch.org/religious-landscape-study/state/michigan/
Minnesota,MN,5.0,9.0,15.0,29.0,https://www.pewresearch.org/religious-landscape-study/state/minnesota/
Mississippi,MS,4.0,2.0,13.0,19.0,https://www.pewresearch.org/religious-landscape-study/state/mississippi/
Missouri,MO,5.0,8.0,20.0,33.0,https://www.pewresearch.org/religious-landscape-study/state/missouri/
Montana,MT,8.0,12.0,19.0,39.0,https://www.pewresearch.org/religious-landscape-study/state/montana/
Nebraska,NE,2.0,4.0,16.0,22.0,https://www.pewresearch.org/religious-landscape-study/state/nebraska/
Nevada,NV,3.0,8.0,24.0,35.0,https://www.pewresearch.org/religious-landscape-study/state/nevada/
New Hampshire,NH,11.0,8.0,29.0,48.0,https://www.pewresearch.org/religious-landscape-study/state/new-hampshire/
New Jersey,NJ,5.0,6.0,17.0,28.0,https://www.pewresearch.org/religious-landscape-study/state/new-jersey/
New Mexico,NM,6.0,5.0,20.0,31.0,https://www.pewresearch.org/religious-landscape-study/state/new-mexico/
New York,NY,5.0,5.0,17.0,27.0,https://www.pewresearch.org/religious-landscape-study/state/new-york/
North Carolina,NC,4.0,5.0,17.0,26.0,https://www.pewresearch.org/religious-landscape-study/state/north-carolina/
North Dakota,ND,3.0,3.0,17.0,23.0,https://www.pewresearch.org/religious-landscape-study/state/north-dakota/
Ohio,OH,5.0,5.0,19.0,29.0,https://www.pewresearch.org/religious-landscape-study/state/ohio/
Oklahoma,OK,5.0,9.0,12.0,26.0,https://www.pewresearch.org/religious-landscape-study/state/oklahoma/
Oregon,OR,8.0,12.0,23.0,43.0,https://www.pewresearch.org/religious-landscape-study/state/oregon/
Pennsylvania,PA,5.0,5.0,20.0,30.0,https://www.pewresearch.org/religious-landscape-study/state/pennsylvania/
Rhode Island,RI,3.0,6.0,22.0,31.0,https://www.pewresearch.org/religious-landscape-study/state/rhode-island/
South Carolina,SC,3.0,3.0,9.0,15.0,https://www.pewresearch.org/religious-landscape-study/state/south-carolina/
South Dakota,SD,1.0,4.0,13.0,18.0,https://www.pewresearch.org/religious-landscape-study/state/south-dakota/
Tennessee,TN,4.0,5.0,15.0,24.0,https://www.pewresearch.org/religious-landscape-study/state/tennessee/
Texas,TX,4.0,5.0,18.0,27.0,https://www.pewresearch.org/religious-landscape-study/state/texas/
Utah,UT,4.0,10.0,20.0,34.0,https://www.pewresearch.org/religious-landscape-study/state/utah/
Vermont,VT,8.0,8.0,29.0,45.0,https://www.pewresearch.org/religious-landscape-study/state/vermont/
Virginia,VA,6.0,6.0,16.0,28.0,https://www.pewresearch.org/religious-landscape-study/state/virginia/
Washington,WA,9.0,11.0,17.0,37.0,https://www.pewresearch.org/religious-landscape-study/state/washington/
West Virginia,WV,4.0,4.0,24.0,32.0,https://www.pewresearch.org/religious-landscape-study/state/west-virginia/
Wisconsin,WI,5.0,9.0,20.0,34.0,https://www.pewresearch.org/religious-landscape-study/state/wisconsin/
Wyoming,WY,5.0,5.0,24.0,34.0,https://www.pewresearch.org/religious-landscape-study/state/wyoming/
