confounder,pearson_r,p_value,n
median_household_income,-0.4912829181138124,0.00029143423720806463,50
median_age,-0.2985344684288957,0.03521744137053098,50
pct_hispanic,-0.07591962013742597,0.6002701683403338,50
population_density,0.007631806673171444,0.9580499623766129,50
unemployment_pct,0.14117912736141974,0.3281004598553592,50
uninsured_pct,0.2822301843331611,0.047059367099755806,50
poverty_pct,0.48493218977993113,0.0003583278387679643,50
less_than_hs_pct,0.48625165491181055,0.00034338308491912046,50
pct_black,0.5734245242082577,1.3443881769467862e-05,50
