measure,outcome,raw_r,raw_p,adj_coef_p
Affiliated %,firearm_death_rate_2024,0.2965389271990129,0.036519010345142565,0.5900478538562045
Affiliated %,firearm_homicide_rate_2024,0.5249654130370123,9.079965009613309e-05,0.5210887128994114
Affiliated %,firearm_suicide_rate_2024,-0.042982531568950696,0.7669383207982937,0.45942841886089447
Affiliated %,adult_obesity_pct_2024,0.5433836905113204,5.469548399909637e-05,0.9617893621525659
Affiliated %,literacy_avg_score,-0.5135293100483537,0.00013677222334677614,0.7155653998492092
Affiliated %,numeracy_avg_score,-0.533256195827124,6.684444649419871e-05,0.8215391758565572
Affiliated %,imprisonment_rate_2023_all_ages,0.4807761715764804,0.0004093280562358269,0.4351592729252639
'Nothing in particular' %,firearm_death_rate_2024,-0.284752218591855,0.045040080334198686,0.7488160736571969
'Nothing in particular' %,firearm_homicide_rate_2024,-0.45823082580448227,0.0008187364381803332,0.9261976365208717
'Nothing in particular' %,firearm_suicide_rate_2024,-0.008035941009536501,0.9558306855264437,0.4554312399763787
'Nothing in particular' %,adult_obesity_pct_2024,-0.3645627339823084,0.010013483866993765,0.6979902088457466
'Nothing in particular' %,literacy_avg_score,0.3688010566732773,0.008401974445463289,0.8105105147824674
'Nothing in particular' %,numeracy_avg_score,0.3896692441830273,0.005154939062395702,0.9596537967583412
'Nothing in particular' %,imprisonment_rate_2023_all_ages,-0.43697400891633337,0.001509322273745246,0.7595973614982016
Atheist %,firearm_death_rate_2024,-0.19880652344524807,0.16633434132618252,0.2961130838289483
Atheist %,firearm_homicide_rate_2024,-0.2513810758563368,0.07824297596523272,0.25685637309801146
Atheist %,firearm_suicide_rate_2024,-0.046289402088204396,0.7495688500658877,0.36878569710358866
Atheist %,adult_obesity_pct_2024,-0.5169882527771852,0.00014272968650842042,0.7867308763438252
Atheist %,literacy_avg_score,0.3454815526209614,0.013997768435650475,0.4935333267249532
Atheist %,numeracy_avg_score,0.3537248623821958,0.01173534406254726,0.5506415501650095
Atheist %,imprisonment_rate_2023_all_ages,-0.3060108954495708,0.030677142626190403,0.28954598063983106
Agnostic %,firearm_death_rate_2024,-0.18148850553863324,0.20717754223809798,0.8767350993956731
Agnostic %,firearm_homicide_rate_2024,-0.4741802747005815,0.0005038475148665378,0.8621910781198687
Agnostic %,firearm_suicide_rate_2024,0.1648377909195663,0.2526466862512349,0.9184581218781966
Agnostic %,adult_obesity_pct_2024,-0.4636388991682947,0.0007931870202595861,0.658795398659876
Agnostic %,literacy_avg_score,0.5144344762692765,0.00013247860983171998,0.979465512279269
Agnostic %,numeracy_avg_score,0.5272920639957086,8.33880105687349e-05,0.9728894860980558
Agnostic %,imprisonment_rate_2023_all_ages,-0.3469508830757813,0.013569165955955866,0.6260913074316302
